,state,TAVG
0,AB,43.131450676982595
1,AK,35.649221320465124
2,AL,68.8830344827588
3,AR,64.6127586206897
4,AZ,56.18255769752916
5,BC,48.54321543408362
6,CA,50.666884097454584
7,CO,41.36394032605359
8,CT,55.23413793103452
9,DE,62.248608695652145
10,FL,75.054116145501
11,GA,69.11977011494251
12,GU,82.17379310344829
13,HI,76.40717017208401
14,IA,54.77298850574706
15,ID,44.262226607124354
16,IL,57.109195402298745
17,IN,57.57755258126199
18,KS,60.58406779661024
19,KY,61.739999999999974
20,LA,72.04781609195403
21,MA,52.47275862068963
22,MB,41.60818181818181
23,MD,60.53413793103444
24,ME,49.33014760147602
25,MI,51.31669698420302
26,MN,47.57268965517231
27,MO,60.970198590646916
28,MS,69.09498357064624
29,MT,42.49130313588842
30,NB,44.98393063583812
31,NC,63.514955804360646
32,ND,48.12262068965518
33,NE,55.513041575492245
34,NH,50.9006896551724
35,NJ,60.21160896130345
36,NL,41.270343511450406
37,NM,48.686068412162186
38,NS,47.643479923518164
39,NT,31.723498098859316
40,NV,47.39291974957303
41,NY,53.20678042209255
42,OH,56.19676325861127
43,OK,64.65568965517248
44,ON,46.018143674507364
45,OR,46.72547194777705
46,PA,57.156804065499784
47,PE,45.10727272727274
48,QC,41.68714828897339
49,RI,54.64620689655173
50,SC,67.08567293777132
51,SD,49.45381679389314
52,TN,63.845123152709455
53,TX,71.13535164099133
54,UT,44.356119008935714
55,VA,61.902149220490024
56,VT,51.21190839694656
57,WA,45.06487643615859
58,WI,52.279082217973276
59,WV,58.09637931034486
60,WY,40.6938537866624
