,month,PRCP,month-num
3,January,0.14676128919102419,1
2,February,0.14941526300971325,2
6,March,0.12948382224671487,3
0,April,0.13109049766076178,4
7,May,0.09903524757035173,5
5,June,0.09159398463651569,6
4,July,0.07394055525115256,7
1,August,0.09188266278593593,8
8,September,0.09906084836981074,9
