,elevation,TAVG
0,1.2,76.3936293436294
1,1.5,66.1837931034483
2,2.1,68.07689655172405
3,2.4,58.92896551724136
4,2.7,52.024656488549645
5,3.0,60.41433808553977
6,3.4,65.17034482758618
7,3.7,54.24068965517244
8,4.0,56.13885057471263
9,4.6,64.63816443594638
10,4.9,58.465162523900595
11,5.5,63.9089655172414
12,5.8,69.89676433121016
13,6.1,52.85381818181818
14,7.0,77.97694656488552
15,7.9,65.72023076923078
16,8.5,75.47893129770995
17,8.8,79.27610687022901
18,9.1,46.7741108986616
19,9.4,52.618954081632616
20,10.1,57.32935779816505
21,10.7,36.98366412213741
22,11.6,67.6565200764818
23,12.2,65.92520710059172
24,12.5,71.77586206896545
25,12.8,72.18896551724139
26,13.1,60.780689655172424
27,13.4,74.82689655172412
28,13.7,62.86879541108992
29,14.0,71.33655172413799
30,14.6,60.834482758620695
31,15.5,76.82689655172413
32,18.3,58.11209775967413
33,19.2,54.53063097514342
34,19.5,42.6447328244275
35,22.0,40.039310344827605
36,22.6,58.31586206896553
37,23.8,39.398620689655175
38,24.1,62.248608695652145
39,24.4,42.625496183206096
40,25.6,55.91655172413793
41,26.0,52.55545454545454
42,27.4,74.11450381679394
43,28.0,48.438636363636384
44,29.0,74.08620689655167
45,29.6,63.73034482758617
46,30.5,76.91480916030538
47,31.1,34.59145038167938
48,33.2,48.89458015267179
49,35.1,74.56551724137927
50,36.6,40.19103448275862
51,37.5,71.61241379310344
52,39.0,67.69261538461544
53,40.2,70.16413793103447
54,40.5,68.15034482758618
55,45.1,47.949236641221376
56,46.0,69.79586206896549
57,47.5,60.233793103448285
58,48.8,38.09272727272728
59,49.0,45.10727272727274
60,50.0,63.24758620689655
61,52.0,41.68714828897339
62,56.4,50.1103448275862
63,57.3,52.71931034482759
64,57.9,54.019310344827566
65,58.8,70.66
66,59.0,53.06755725190836
67,61.6,70.64137931034475
68,62.5,56.16223076923078
69,63.4,70.91724137931034
70,70.4,69.71448275862068
71,71.0,45.81992187499999
72,73.8,58.17517241379312
73,77.4,74.95344827586213
74,83.2,70.55448275862068
75,86.0,49.40204545454547
76,88.4,60.203448275862094
77,89.6,69.32344827586205
78,91.4,39.5109090909091
79,93.0,73.03586206896553
80,94.5,28.354318181818183
81,95.1,55.53009560229447
82,97.8,50.46953488372094
83,100.6,60.25070745697902
84,101.5,51.877782026768614
85,104.5,68.61241379310339
86,105.5,50.9006896551724
87,106.7,39.78137931034485
88,107.6,61.00172413793106
89,109.0,44.17019011406845
90,110.0,67.18413793103446
91,111.3,70.1738461538462
92,112.8,54.68896551724134
93,114.0,46.85204545454544
94,114.3,37.82272727272728
95,118.9,62.01832512315272
96,119.5,63.762758620689645
97,121.9,49.885142857142874
98,125.9,51.44620689655171
99,126.8,65.57517241379311
100,128.0,53.57477272727276
101,131.7,34.271724137931045
102,134.1,72.56344827586207
103,136.9,66.88965517241384
104,137.2,34.12839694656488
105,141.0,42.492015209125455
106,145.0,46.83297297297299
107,146.3,73.43517241379313
108,148.7,63.75310344827588
109,149.0,71.41448275862072
110,151.5,67.72896551724142
111,152.4,71.32827586206896
112,158.5,55.609541984732815
113,161.8,63.92620689655175
114,162.5,52.937022900763374
115,170.7,67.79965517241381
116,172.2,67.83034482758625
117,180.4,56.406896551724124
118,181.1,59.86620689655173
119,182.9,65.53448275862067
120,187.5,68.08206896551724
121,190.2,66.52774193548383
122,190.5,53.001379310344795
123,192.0,44.08395437262355
124,192.3,55.11103448275864
125,195.1,25.522045454545456
126,195.7,31.10137404580151
127,198.1,61.77793103448275
128,198.7,54.0765517241379
129,200.6,55.56758620689654
130,203.9,54.26482758620689
131,204.2,53.20564885496186
132,204.5,65.76827586206895
133,206.0,31.723498098859316
134,207.9,50.169655172413776
135,208.5,48.201374045801565
136,210.9,57.19724137931035
137,211.2,44.812142857142874
138,213.4,37.23636363636363
139,217.0,45.908139534883716
140,220.1,46.48
141,221.9,66.08551724137929
142,222.5,54.34650095602294
